iter	Passed	Remaining
1361	2384	9070
1362	2386	9068
1363	2388	9067
1364	2390	9065
1365	2391	9063
1366	2393	9061
1367	2395	9059
1368	2396	9056
1369	2398	9054
1370	2399	9052
1371	2401	9049
1372	2403	9046
1373	2404	9044
1374	2406	9042
1375	2408	9041
1376	2409	9039
1377	2411	9036
1378	2412	9033
1379	2414	9031
1380	2415	9028
1381	2417	9027
1382	2419	9026
1383	2421	9023
1384	2422	9020
1385	2424	9018
1386	2425	9015
1387	2427	9013
1388	2428	9010
1389	2430	9007
1390	2431	9005
1391	2433	9001
1392	2434	8999
1393	2436	8996
1394	2438	8995
1395	2439	8993
1396	2441	8990
1397	2442	8987
1398	2444	8985
1399	2445	8983
1400	2447	8981
1401	2449	8978
1402	2450	8976
1403	2452	8974
1404	2453	8971
1405	2455	8969
1406	2456	8966
1407	2458	8963
1408	2459	8960
1409	2461	8958
1410	2463	8957
1411	2465	8956
1412	2466	8954
1413	2468	8953
1414	2470	8951
1415	2472	8951
1416	2474	8950
1417	2476	8949
1418	2477	8945
1419	2479	8944
1420	2481	8943
1421	2483	8942
1422	2485	8939
1423	2486	8937
1424	2488	8934
1425	2489	8931
1426	2491	8929
1427	2492	8926
1428	2494	8923
1429	2495	8920
1430	2497	8918
1431	2499	8919
1432	2501	8917
1433	2502	8913
1434	2504	8911
1435	2505	8909
1436	2506	8906
1437	2508	8903
1438	2510	8901
1439	2511	8898
1440	2513	8896
1441	2514	8894
1442	2516	8890
1443	2517	8888
1444	2519	8885
1445	2520	8883
1446	2522	8880
1447	2523	8877
1448	2524	8874
1449	2526	8870
1450	2527	8868
1451	2529	8865
1452	2530	8862
1453	2531	8859
1454	2533	8856
1455	2534	8853
1456	2535	8850
1457	2537	8846
1458	2538	8843
1459	2540	8841
1460	2541	8840
1461	2543	8837
1462	2545	8836
1463	2546	8833
1464	2548	8831
1465	2549	8828
1466	2551	8826
1467	2552	8823
1468	2554	8821
1469	2555	8818
1470	2557	8816
1471	2558	8812
1472	2560	8810
1473	2561	8808
1474	2563	8805
1475	2564	8802
1476	2566	8800
1477	2567	8798
1478	2569	8795
1479	2570	8792
1480	2572	8790
1481	2574	8789
1482	2575	8787
1483	2577	8784
1484	2578	8781
1485	2580	8779
1486	2581	8776
1487	2583	8775
1488	2585	8773
1489	2586	8770
1490	2588	8767
1491	2589	8765
1492	2591	8763
1493	2593	8761
1494	2594	8758
1495	2595	8755
1496	2597	8752
1497	2598	8749
1498	2599	8747
1499	2601	8745
1500	2603	8743
1501	2605	8741
1502	2606	8738
1503	2607	8736
1504	2609	8732
1505	2610	8730
1506	2612	8727
1507	2613	8725
1508	2615	8722
1509	2616	8719
1510	2618	8717
1511	2619	8715
1512	2621	8713
1513	2623	8712
1514	2624	8709
1515	2626	8707
1516	2627	8704
1517	2629	8703
1518	2631	8700
1519	2632	8698
1520	2634	8696
1521	2635	8693
1522	2637	8691
1523	2638	8688
1524	2640	8686
1525	2641	8683
1526	2643	8681
1527	2644	8678
1528	2646	8675
1529	2647	8673
1530	2649	8671
1531	2651	8669
1532	2652	8667
1533	2654	8664
1534	2655	8662
1535	2657	8660
1536	2658	8658
1537	2660	8655
1538	2662	8653
1539	2663	8651
1540	2666	8654
1541	2668	8653
1542	2670	8652
1543	2672	8650
1544	2673	8647
1545	2675	8645
1546	2676	8642
1547	2678	8640
1548	2679	8637
1549	2681	8634
1550	2682	8632
1551	2684	8631
1552	2686	8629
1553	2687	8627
1554	2689	8624
1555	2691	8623
1556	2692	8620
1557	2694	8618
1558	2696	8617
1559	2697	8615
1560	2699	8613
1561	2701	8612
1562	2702	8610
1563	2704	8608
1564	2706	8606
1565	2707	8604
1566	2709	8601
1567	2710	8599
1568	2712	8596
1569	2713	8594
1570	2715	8592
1571	2717	8590
1572	2718	8588
1573	2720	8585
1574	2721	8583
1575	2723	8580
1576	2724	8577
1577	2725	8575
1578	2727	8572
1579	2729	8572
1580	2731	8571
1581	2733	8569
1582	2734	8566
1583	2735	8563
1584	2737	8561
1585	2738	8558
1586	2740	8556
1587	2742	8554
1588	2743	8551
1589	2745	8550
1590	2746	8547
1591	2748	8545
1592	2749	8541
1593	2750	8539
1594	2752	8536
1595	2753	8533
1596	2755	8530
1597	2756	8528
1598	2758	8526
1599	2759	8524
1600	2761	8523
1601	2763	8521
1602	2764	8518
1603	2766	8516
1604	2767	8514
1605	2769	8511
1606	2770	8509
1607	2772	8506
1608	2773	8503
1609	2775	8502
1610	2777	8500
1611	2778	8498
1612	2780	8496
1613	2782	8494
1614	2783	8491
1615	2785	8489
1616	2786	8487
1617	2789	8488
1618	2790	8486
1619	2792	8484
1620	2793	8481
1621	2795	8479
1622	2797	8477
1623	2798	8474
1624	2799	8472
1625	2801	8469
1626	2802	8467
1627	2804	8465
1628	2806	8462
1629	2807	8461
1630	2809	8459
1631	2810	8456
1632	2812	8454
1633	2814	8452
1634	2815	8450
1635	2817	8448
1636	2818	8445
1637	2820	8443
1638	2821	8441
1639	2823	8440
1640	2825	8438
1641	2827	8436
1642	2828	8434
1643	2830	8432
1644	2831	8430
1645	2833	8428
1646	2835	8426
1647	2836	8424
1648	2838	8422
1649	2839	8420
1650	2841	8418
1651	2843	8416
1652	2844	8414
1653	2846	8411
1654	2848	8410
1655	2850	8409
1656	2852	8409
1657	2854	8407
1658	2855	8405
1659	2857	8402
1660	2858	8400
1661	2860	8399
1662	2862	8397
1663	2865	8398
1664	2867	8399
1665	2870	8402
1666	2873	8402
1667	2875	8402
1668	2877	8401
1669	2880	8402
1670	2882	8401
1671	2884	8400
1672	2886	8400
1673	2888	8400
1674	2891	8400
1675	2893	8399
1676	2894	8397
1677	2897	8398
1678	2899	8397
1679	2901	8397
1680	2903	8395
1681	2904	8392
1682	2906	8390
1683	2907	8388
1684	2909	8386
1685	2911	8385
1686	2913	8384
1687	2915	8385
1688	2918	8384
1689	2919	8382
1690	2922	8383
1691	2924	8383
1692	2927	8384
1693	2929	8384
1694	2932	8386
1695	2934	8385
1696	2937	8386
1697	2939	8385
1698	2941	8384
1699	2943	8383
1700	2946	8384
1701	2949	8386
1702	2951	8386
1703	2953	8386
1704	2955	8384
1705	2957	8383
1706	2958	8381
1707	2960	8378
1708	2962	8376
1709	2963	8374
1710	2965	8372
1711	2966	8370
1712	2968	8367
1713	2969	8365
1714	2971	8362
1715	2973	8361
1716	2974	8359
1717	2976	8356
